,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DealerID,DealerName,Dealer Legal Name,Unit Volume,Dealer Group,Membership Type,Expiry Date,Status,Reason,Member Since,Autotrader ID,Aeroplan ID,Finance ID,Street,Town,Region,City Area,Postal Code,Province,Phone,Toll Free,Fax,Website,Website Email Contact,Billing Address,Billing Address 2,Billing City,Billing Postal Code,Billing Province,Billing Country,Billing Phone,Notes,
258,ADDISON ON ERIN MILLS,ADDISON CHEVROLET BUICK GMC LIMITED WEST,0-499 Units - A1,Addison Chevrolet,Dealer,2013-12-31,Active,Active,2010-01-01,ON200707041625463696302776,0,ADDI02,6600 Turner Valley Road,Mississauga,Mississauga ,Peel Region,L5N 5Z1,Ontario,905-821-0002,,905-821-0331,www.addisononerinmills.com,caddison@addisononbay.com,,,,,Ontario,,,Updated Aug. 2017,
291,ADESA CANADA,ADESA CANADA, N/A,,Associate,2013-01-17,Active,Active,2012-01-17,,0,ADES02,"6755 Mississauga Road, Suite 410",Mississauga,Toronto,Toronto,L5N 7Y2,Ontario,416-730-1284,,905-896-3244,www.adesa.ca,Christine.mitchell@adesa.com,,,,,Ontario,,,,
1850,ADVANTEX ,Advantex Marketing International Inc., N/A,,Associate,2013-12-31,Inactive,Active,2013-06-06,,0,AERO01,600 Alden Road Suite 606,Markham,Markham,York Region,L3R 0E7,Ontario,,,,,paul.coke@advantex.com,,,,,Ontario,,,,
225,AGINCOURT HYUNDAI,AGINCOURT HYUNDAI ,500-999 units - D,,Dealer,2013-12-31,Active,Active,1985-01-01,ON20080103120547992,0,AGIN03,2730 Markham Road,Scarborough,Toronto,Toronto,M1X 1E6,Ontario,416-291-2929,,416-291-9760,www.agincourthyundai.ca,nkoundouros@agincourthyundai.ca,,,,,Ontario,,,Updated Aug. 2017,
26,AGINCOURT MAZDA,AGINCOURT MAZDA,500-999 units - A2,Dilawri Group ,Dealer,2013-12-31,Active,Active,1997-02-18,ON20071219110409679,0,MORN01,5500 Finch Avenue East,Scarborough,Toronto,Toronto,M1S 0C7,Ontario,416-283-7100,,416-940-8850,www.agincourtmazda.com,a_syed@agincourtmazda.com,,,,,Ontario,,,Updated Aug. 2017,
27,AGINCOURT NISSAN,MCCOWAN HOLDING INC.,0-499 Units - A1,Drive Auto Group,Dealer,2013-12-31,Active,Active,1987-01-01,ON20080124144359109,0,BOBS01,1871 McCowan Road,Agincourt,Toronto,Toronto,M1S 4L4,Ontario,416-291-1188,1-866-519-0775,416-291-3388,www.agincourtnissan.ca,navi.singh@agincourtnissan.com,,,,,Ontario,,,Updated Aug. 2017,
294,AIRPORT FORD LINCOLN SALES,AIRPORT FORD LINCOLN SALES LTD,500-999 units - D,,Dealer,2013-12-31,Active,Active,2013-05-10,,0,AIRP03,49 Rymal Road East,Hamilton,Hamilton,Hamilton,L9B 1B9,Ontario,905-388-6396,,905-388-3436,www.airportfordlincoln.ca,anthony.kajah@airportfordlincoln.ca,,,,,Ontario,,,updated Aug. 2017,
295,AIRPORT HYUNDAI,AIRPORT HYUNDAI,500-999 units - D,,Dealer,2013-12-31,Active,Active,2007-06-16,,4523,AIRP04,2040 Dundas Street East,London,London,Middlesex County,N5V 1R2,Ontario,519-452-3443,,519-659-7207,www.airporthyundai.ca,sales@airporthyundai.ca,,,,,Ontario,,,"updated jk
June 17th 2013",
296,AIRPORT KIA,2071540 ONTARIO INC.,150-299 units - B,,Dealer,2013-12-31,Active,Active,2006-02-06,,0,AIRP02,3295 Derry Road East,Mississauga,Mississauga ,Peel Region,L4T 1A8,Ontario,905-677-5678,,905-677-5424,www.airportkia.ca,farhadkazerani@airportkia.ca,,,,,Ontario,,,updated Aug. 2017,
127,AIRPORT MAZDA OF TORONTO,AIRPORT MAZDA OF TORONTO,0-499 Units - A1,Zanchin Group,Dealer,2013-12-31,Active,Active,1977-01-01,,0,ALBI01,415 Rexdale Boulevard,Toronto,Toronto,Toronto,M9W 6P8,Ontario,416-745-0001,,416-745-9596,www.airportmazda.ca,fvlalli@airportmazda.ca,,,,,Ontario,,,Updated Aug. 2017,
297,AIRPORT NISSAN CORP,AIRPORT NISSAN CORP,0-499 Units - A1,Pine View Auto Group ,Dealer,2013-12-31,Active,Active,2005-05-13,,0,AIRP01,3095 Queen Street East,Brampton,Brampton   ,Peel Region,L6T 5V5,Ontario,905-791-4900,,905-791-4944,www.airportnissan.com,mromeo@airportnissan.com,,,,,Ontario,,,Updated Aug. 2017,
298,AITKEN MOTORS ,AITKEN MOTORS LTD.,150-299 units - B,,Dealer,2013-12-31,Active,Active,2013-09-08,,4395,AITK01,"51 Queensway East, Box 340",Simcoe,Norfolk,Norfolk,N3Y 4L2,Ontario,519-426-1680,,519-426-5584,www.aitkenchev.ca,lcripps@aitkenchev.com,,,,,Ontario,,,Updated Aug. 2017,
16,AJAX HYUNDAI ,Ajax Hyundai ,500-999 units - A2,Drive Auto Group,Dealer,2013-12-31,Active,Active,1985-01-01,,0,AJAX03,170 Westney Road South,Ajax,Ajax ,Durham Region,L1S 2C8,Ontario,905-427-0111,1-866-207-5841,905-427-9989,www.sisleyhyundai.ca,sharris@ajaxhyundai.com,,,,,Ontario,,,"Updated JK 
July 12th 2013

Name updated Feb 9 2016 by Liz New name new ownership Sisley Hyundai to Ajax Hyundai 

Updated Aug. 2017",
198,AJAX MAZDA ,AJAX MAZDA O/B AJAX SALES & SERVICE INC.,500-999 units - D,,Dealer,2013-12-31,Active,Active,2004-04-28,ON20080430102934609,0,AJAX02,301 Bayly Street West,Ajax,Ajax ,Durham Region,L1S 6M2,Ontario,905-428-0088,,905-428-1240,www.ajaxmazda.com,roger.jugdeo@ajaxmazda.com,,,,,Ontario,,,updated Aug. 2017,
1868,Ajax Mitsubishi,2512048 Ont Inc,0-499 Units - A1,,Dealer,2013-12-31,Active,Active,2013-09-03,,0,PICK06,375 Bayly St W,Ajax,Ajax ,Durham Region,L1S 6M3,Ontario,905-250-2125,,,www.ajaxubishi.ca,andrew.j@ajaxmitsubishi.ca,301 Bayly St W,,Ajax,L1S 6M2,Ontario,Canada,905-428-0088,,
75,AJAX NISSAN,AJAX NISSAN,500-999 units - A2,Drive Auto Group,Dealer,2014-12-31,Active,Active,2013-11-07,ON20080514103912062,0,KING02,500 Bayly Street West,Ajax,Ajax ,Durham Region,L1S 4G6,Ontario,905-686-0555,1-888-296-9348,905-686-1126,www.ajaxnissan.com,jeff@ajaxnissan.com,,,,,Ontario,,,updated Aug. 2017,
301,ALEX WILLIAMSON CHEVROLET BUICK GMC CADILLAC,ALEX WILLIAMSON MOTOR SALES LTD.,500-999 units - D,Alex Williamson Motor Sales Ltd.,Dealer,2013-12-31,Active,Active,1996-01-08,,0,WILL04,259 Toronto Street South,Uxbridge,Uxbridge ,Durham Region,L9P 1S3,Ontario,905-852-3331,,905-852-3336,www.williamsonuxbridge.com,pdw@williamsonuxbridge.com,,,,,Ontario,,,Updated Aug. 2017,
1954,ALFA ROMEO OF OAKVILLE,ALFA ROMEO OF OAKVILLE, N/A,Remo Ferri Group of Automobiles,Dealer,2015-12-31,Inactive,Active,2015-10-20,,0,ALFA01,2475 Wyecroft Road,Oakville,,,L6L 6R5,Ontario,905-847-8329,,,,,,,,,Ontario,,,,
2294,Alfa Romeo of Victoria,,,,Other,2018-07-27,Active,,2018-07-27,,0,,740 Roderick St.,,,,V8X 2R3,British Columbia,,8773657051,,www.alfaromeovictoria.com,HR5@GAIN-VI.CA,,,,,,,,,
2174,ALFA ROMEO OTTAWA,ALFA ROMEO OTTAWA,0-499 Units - A1,MARK MOTORS GROUP,Dealer,2018-12-31,Active,,2018-03-29,,0,,616 St. Laurent Blvd,Ottawa,,,K1K 3A1,Ontario,613-749-7711,,,,mpereira@maseratiofottawa.com,,,,,Ontario,,,,
302,ALGOMA CHRYSLER,ALGOMA CHRYSLER,150-299 units - B,,Dealer,2013-12-31,Active,Active,1997-03-05,,0,ALGO01,4663 Highway 17 West,Spragge,Blind River ,Algoma District,P0R 1K0,Ontario,705-849-2227,,705-849-2700,www.algomachrysler.com,georgefarkouh@onlink.net,,,,,Ontario,,,,
303,ALLISTON VOLKSWAGEN,ALLISTON VOLKSWAGEN,150-299 units - B,,Dealer,2013-12-31,Active,Active,2013-09-08,,0,ALLI01,Box 340,Alliston,New Tecumseth ,Simcoe County,L9R 1V6,Ontario,705-435-5701,,705-435-2846,www.allistonvw.com,andyf@allistonvw.com,,,,,Ontario,,,updated Aug. 2017,
304,ALLROADS DODGE CHRYSLER JEEP,ALLROADS DODGE CHRYSLER JEEP LIMITED,150-299 units - B,Downtown Pontiac Buick ,Dealer,2013-12-31,Active,,2009-05-14,,0,ALLR01,"425 Queen Street West, Box 2859",St. Marys,,,N4X 1A5,Ontario,519-284-3308,,519-284-2343,www.allroads.ca,chriswest@kwic.com,,,,,Ontario,,,,
128,ALTA INFINITI,ALTA INFINITI,500-999 units - A2,Zanchin Group,Dealer,2013-12-31,Active,Active,2002-02-12,ON20080625094400178,0,ALTA02,5585 Highway 7,Woodbridge,Vaughan ,York Region,L4L 1T5,Ontario,905-856-8800,,905-856-0058,www.altainfiniti.com,jzanchin@zanchinauto.com,,,,,Ontario,,,Updated Aug. 2017,
305,ALTA NISSAN,ALTA NISSAN,500-999 units - A2,Zanchin Group,Dealer,2013-12-31,Active,Active,2013-05-02,,0,ALTA01,"7625 Martingrove Road, Bldg G",Woodbridge,Vaughan ,York Region,L4L 2C5,Ontario,905-851-1279,,905-851-9778,www.altanissan.com,gabe@altanissan.com,,,,,Ontario,,,updated Aug. 2017,
90,ALTA NISSAN RICHMOND HILL,ALTA NISSAN RICHMOND HILL,0-499 Units - A1,Zanchin Group,Dealer,2013-12-31,Active,Active,2005-11-08,ON20080211122152257,0,ALTA03,11667 Yonge Street,Richmond Hill,Richmond Hill ,York Region,L4E 3N8,Ontario,905-780-7771,,905-780-7778,www.altanissanrh.com,robbrown@altnissan.com,,,,,Ontario,,,Updated Aug. 2017,
307,AMEX  CANADA-SMALL BUSINESS SERVICES,AMEX  CANADA-SMALL BUSINESS SERVICES, N/A,,Associate,2013-12-31,Inactive,Active,2013-08-27,,0,AMER02,101 McNabb Street,Markham,Markham,York Region,L3R 4H8,Ontario,647-618-4576,,,,michael.j.fabbri@aexp.com,,,,,Ontario,,,cancelled with accounting July 22nd 2013,
542,AMHERSTBURG CHEVROLET BUICK GMC,AMHERSTBURG CHEVROLET BUICK GMC,150-299 units - B,,Dealer,2014-12-31,Active,Active,2013-09-08,,0,CLAR03,432 Sandwich Street South,Amherstburg,Amherstburg ,Essex County,N9V 2Z3,Ontario,519-736-6451,,519-736-5011,www.amherstburggm.com,selliott@amherstburggm.com,,,,,Ontario,,,"rec'd payment on 11/11/2013

Updated Aug. 2017",
309,ANCASTER TOYOTA,ANCASTER TOYOTA,500-999 units - D,Leggat Auto Group ,Dealer,2013-12-31,Active,Active,2013-10-29,,0,ANCA01,30 Mason Drive,Ancaster,Toronto,Toronto,L9G 3K9,Ontario,905-648-9910,,905-648-4560,www.toyotaofancaster.ca,fvanderveen@lag.ca,,,,,Ontario,,,updated Aug. 2017,
310,ANDERSON KIA,ANDERSON KIA,0-499 Units - A1,,Dealer,2013-12-31,Inactive,Cancelled Membership,2013-10-31,,0,ANDE01,"1231 Dundas Street, Box 1594",Woodstock,Woodstock ,Oxford County,N4S 0A8,Ontario,,,519-537-5542,,,,,,,Ontario,,,,
313,ANGEVAARE MAZDA,ANGEVAARE ENTERPRISES LTD,150-299 units - B,,Dealer,2013-12-31,Active,Active,2013-09-08,,0,ANGE01,1428 Lansdowne Street West,Peterborough,Peterborough ,Peterborough County,K9J 2A2,Ontario,705-741-1030,1-877-524-5122,705-741-3699,www.angevaaremazda.com,terry@angevaaremazda.com,,,,,Ontario,,,Updated Aug. 2017,
1846,Another Test,, N/A,,Dealer,2013-12-31,Inactive,Active,2013-05-10,,0,,,,Toronto,Toronto,,Ontario,,,,,,,,,,Ontario,,,,
142,APPLEWOOD CHEVROLET BUICK CADILLAC GMC,APPLEWOOD CHEVROLET BUICK CADILLAC GMC,500-999 units - A2,Humberview Group,Dealer,2014-12-31,Active,Active,1960-01-01,ON200801281001599925400451,0,APPL02,3000 Woodchester Drive,Mississauga,Mississauga ,Peel Region,L5L 2R4,Ontario,905-828-2221,1-866-761-0275,905-828-2218,www.applewoodauto.com,info@applewoodauto.com.,,,,,Ontario,,,,
1677,ARMSTRONG DODGE RAM CHRYSLER JEEP,ARMSTRONG DODGE RAM CHRYSLER JEEP,0-499 Units - A1,Jason Armstrong's Huntsville Honda,Dealer,2014-12-31,Active,,2013-03-13,,0,WEST12,111 North Kinton Ave,Huntsville,,,P1H 0A9,Ontario,705-789-5591,,705-789-0095,www.armstrongdodge.com,jason@drivemuskoka.com,,,,,Ontario,,,,
2063,Arnold Chevrolet Buick GMC Cadillac Inc.,,,,Other,2018-02-26,Active,,2018-02-26,,0,,"2595, rue Godbout",,,,G7S5S9,Quebec,4185488888,,,www.arnoldgm.com,STREMBLAY@ARNOLDGM.COM,,,,,,,,,
317,ARNPRIOR CHRYSLER ,ARNPRIOR CHRYSLER LTD,149 or less units - A,,Dealer,2013-12-31,Active,Active,2013-09-08,,0,ARNP01,205 Madawaska Boulevard,Arnprior,Arnprior ,Renfrew County,K7S 1S6,Ontario,613-623-4256,1-866-406-4388,613-623-8435,www.arnpriorchrysler.com,mikem@arnpriorchrysler.com,,,,,Ontario,,,,
318,ARRO,ARRO, N/A,,Other,2012-12-31,Inactive,Cancelled Membership,2012-08-27,,0,,"5100 South Service Road, Unit 10",Burlington,Burlington ,Halton Region,L7L 6A5,Ontario,905-634-4040,,,,,,,,,Ontario,,,,
319,ARTHUR CHRYSLER DODGE ,ARTHUR CHRYSLER DODGE LIMITED,300-499 units - C,,Dealer,2013-12-31,Inactive,Cancelled Membership,2013-07-04,,0,ARTH01,7976 Wellington Road 109,Arthur,Wellington North ,Wellington County,N0G 1A0,Ontario,519-848-2016,1-888-369-1352,519-848-3373,www.arthurchrysler.com,wrooney@arthurchrysler.com,,,,,Ontario,,,,
321,ASSOC. OF INTERNAT.AUTO.MANUFACT.OF CAN.,ASSOC. OF INTERNAT.AUTO.MANUFACT.OF CAN., N/A,,Other,2013-12-31,Inactive,Active,2013-03-19,,0,,"2 Bloor Street West, Suite 1804, Box 5",Toronto,Toronto,Toronto,M4W 3E2,Ontario,416-595-8251,,416-595-2864,,auto@aiamc.com,,,,,Ontario,,,,
2303,astrid mauger test,, N/A,,Dealer,2018-12-31,Inactive,,2018-08-07,,0,,1234 no where,,,,m2m2m2,Ontario,,,,,,,,,,Ontario,,,,
2304,Astrid test2,Astrid test2, N/A,,Other,2018-08-07,Active,,2018-08-07,,0,,,,,,,Quebec,,,,,,,,,,Ontario,,,,
323,ATLAS TIRE WHOLESALE,ATLAS TIRE WHOLESALE INC., N/A,,Associate,2013-12-31,Active,Active,2010-11-24,,0,ATLA01,6200 Tomken Road,Mississauga,Mississauga ,Peel Region,L5T 1X7,Ontario,905-670-7354,,905-564-9344,www.atlastire.com,dgregory@atlastire.com,,,,,Ontario,,,,
163,ATTRELL HYUNDAI,ATTRELL HYUNDAI,500-999 units - A2,Attrell Toyota,Dealer,2014-12-31,Active,Active,1991-01-01,,0,ATTR01,100 Canam Crescent,Brampton,Brampton   ,Peel Region,L7A 1A9,Ontario,905-451-1699,,905-451-2941,www.attrellhyundai.ca,battrell@attrellhyundai.ca,,,,,Ontario,,,Updated Aug. 2017,
162,ATTRELL TOYOTA,ATTRELL TOYOTA,1000 + units - E,Attrell Toyota,Dealer,2013-12-31,Active,Active,1975-01-01,,0,ATTR02,110 Canam Crescent,Brampton,Brampton   ,Peel Region,L7A 1A9,Ontario,905-451-7235,,905-451-4680,www.attrelltoyota.com,john_attrell@attrelltoyota.com,,,,,Ontario,,,Updated Aug. 2017,
1857,AUDI BARRIE,AUTOHAUS BARRIE LTD,0-499 Units - A1,Dilawri Group ,Dealer,2013-12-31,Active,Active,2013-07-22,,0,AUDI07, 2484 Doral Drive,Innisfil,Barrie ,Simcoe County,L9S 0A3,Ontario,705-3730100,,,www.audibarrie.ca,s_hanzlik@audibarrie.ca,,,,,Ontario,,,Updated Aug. 2017,
2016,AUDI BRAMPTON,, N/A,Bramgate Automotive Inc.,Dealer,2017-12-31,Active,Active,2017-08-10,,0,AUDI10,25 Coachworks Crescent ,Brampton,,,L6R 3Y2,Ontario,905 487 2834,,,www.audibrampton.com,wejohnston@bramgateautomotive.com,,,,,Ontario,,,,
